item,type,figure,models,complexity,premise1,premise2,conclusion,conc_format,atmosphere_followed,validity
1,1,1,3,complex,E,I,O,C-A,O,N
2,1,1,3,complex,E,I,O,C-A,O,N
3,1,1,3,complex,E,I,O,C-A,O,N
4,1,1,3,complex,E,I,O,C-A,O,N
5,1,2,3,complex,I,E,O,A-C,O,N
6,1,2,3,complex,I,E,O,A-C,O,N
7,1,2,3,complex,I,E,O,A-C,O,N
8,1,2,3,complex,I,E,O,A-C,O,N
9,1,4,3,complex,I,E,O,A-C,O,N
10,1,4,3,complex,I,E,O,A-C,O,N
11,1,4,3,complex,E,I,O,C-A,O,N
12,1,4,3,complex,E,I,O,C-A,O,N
13,2,1,3,complex,E,A,O,C-A,E,N
14,2,1,3,complex,E,A,O,C-A,E,N
15,2,1,3,complex,E,A,O,C-A,E,N
16,2,1,3,complex,E,A,O,C-A,E,N
17,2,2,3,complex,A,E,O,A-C,E,N
18,2,2,3,complex,A,E,O,A-C,E,N
19,2,2,3,complex,A,E,O,A-C,E,N
20,2,2,3,complex,A,E,O,A-C,E,N
21,2,4,3,complex,A,E,O,A-C,E,N
22,2,4,3,complex,A,E,O,A-C,E,N
23,2,4,3,complex,E,A,O,C-A,E,N
24,2,4,3,complex,E,A,O,C-A,E,N
25,3,1,3,complex,I,E,O,C-A,O,P
26,3,1,3,complex,I,E,O,C-A,O,P
27,3,1,3,complex,I,E,O,C-A,O,P
28,3,1,3,complex,I,E,O,C-A,O,P
29,3,2,3,complex,E,I,O,A-C,O,P
30,3,2,3,complex,E,I,O,A-C,O,P
31,3,2,3,complex,E,I,O,A-C,O,P
32,3,2,3,complex,E,I,O,A-C,O,P
33,3,4,3,complex,E,I,O,A-C,O,P
34,3,4,3,complex,E,I,O,A-C,O,P
35,3,4,3,complex,I,E,O,C-A,O,P
36,3,4,3,complex,I,E,O,C-A,O,P
37,4,1,3,complex,E,I,A,A-C,O,P
38,4,1,3,complex,E,I,A,A-C,O,P
39,4,1,3,complex,E,I,A,A-C,O,P
40,4,1,3,complex,E,I,A,A-C,O,P
41,4,2,3,complex,I,E,A,C-A,O,P
42,4,2,3,complex,I,E,A,C-A,O,P
43,4,2,3,complex,I,E,A,C-A,O,P
44,4,2,3,complex,I,E,A,C-A,O,P
45,4,4,3,complex,E,A,O,A-C,E,P
46,4,4,3,complex,E,A,O,A-C,E,P
47,4,4,3,complex,A,E,O,C-A,E,P
48,4,4,3,complex,A,E,O,C-A,E,P
