MODELS	BELIEVABILITY	VALIDITY	CODE	STRUCT	CONCLUSION	CATSWITCH	BELSWITCH
Multi	Believable	Valid	MVB01	EI3_O2	Some C are not A	CAT-MEM	Noswitch
Multi	Believable	Valid	MVB02	EI4_O2	Some C are not A	CAT-MEM	Noswitch
Multi	Believable	Valid	MVB03	EI1_O2	Some C are not A	CAT-MEM	Noswitch
Multi	Believable	Valid	MVB04	IE1_O1	Some A are not C	CAT-MEM	Noswitch
Multi	Believable	Valid	MVB05	OA3_O1	Some A are not C	CAT-MEM	Noswitch
Multi	Believable	Valid	MVB06	AO3_O2	Some C are not A	CAT-MEM	Noswitch
Multi	Believable	Valid	MVB07	OA4_O2	Some C are not A	CAT-MEM	Noswitch
Multi	Believable	Valid	MVB08	AO4_O1	Some A are not C	CAT-MEM	Noswitch
Multi	Believable	Invalid	MIB01	EI3_O1 	Some A are not C	CAT-MEM	Noswitch
Multi	Believable	Invalid	MIB02	EI4_O1 	Some A are not C	CAT-MEM	Noswitch
Multi	Believable	Invalid	MIB03	EI1_O1 	Some A are not C	CAT-MEM	Noswitch
Multi	Believable	Invalid	MIB04	IE1_O2 	Some C are not A	CAT-MEM	Noswitch
Multi	Believable	Invalid	MIB05	OE3_O1 	Some A are not C	CAT-MEM	Noswitch
Multi	Believable	Invalid	MIB06	EO3_O2 	Some C are not A	CAT-MEM	Noswitch
Multi	Believable	Invalid	MIB07	OE4_O2 	Some C are not A	CAT-MEM	Noswitch
Multi	Believable	Invalid	MIB08	EO4_O1	Some A are not C	CAT-MEM	Noswitch
Multi	Unbelievable	Valid	MVU01	EI3_O2	Some C are not A	MEM-CAT	Noswitch
Multi	Unbelievable	Valid	MVU02	EI4_O2	Some C are not A	MEM-CAT	Noswitch
Multi	Unbelievable	Valid	MVU03	EI1_O2	Some C are not A	MEM-CAT	Noswitch
Multi	Unbelievable	Valid	MVU04	IE1_O1	Some A are not C	MEM-CAT	Noswitch
Multi	Unbelievable	Valid	MVU05	OA3_O1	Some A are not C	MEM-CAT	Noswitch
Multi	Unbelievable	Valid	MVU06	AO3_O2	Some C are not A	MEM-CAT	Noswitch
Multi	Unbelievable	Valid	MVU07	OA4_O2	Some C are not A	MEM-CAT	Noswitch
Multi	Unbelievable	Valid	MVU08	AO4_O1	Some A are not C	MEM-CAT	Noswitch
Multi	Unbelievable	Invalid	MIU01	EI3_O1 	Some A are not C	MEM-CAT	Noswitch
Multi	Unbelievable	Invalid	MIU02	EI4_O1 	Some A are not C	MEM-CAT	Noswitch
Multi	Unbelievable	Invalid	MIU03	EI1_O1 	Some A are not C	MEM-CAT	Noswitch
Multi	Unbelievable	Invalid	MIU04	IE1_O2 	Some C are not A	MEM-CAT	Noswitch
Multi	Unbelievable	Invalid	MIU05	OE3_O1 	Some A are not C	MEM-CAT	Noswitch
Multi	Unbelievable	Invalid	MIU06	EO3_O2 	Some C are not A	MEM-CAT	Noswitch
Multi	Unbelievable	Invalid	MIU07	OE4_O2 	Some C are not A	MEM-CAT	Noswitch
Multi	Unbelievable	Invalid	MIU08	EO4_O1	Some A are not C	MEM-CAT	Noswitch
