MODELS	BELIEVABILITY	VALIDITY	CODE	STRUCT	CATSWITCH	BELSWITCH
Single	Believable	Valid	SVB01	AE1_E1	MEM-CAT	Switch
Single	Believable	Valid	SVB02	AE3_E1	CAT-MEM	Switch
Single	Believable	Valid	SVB03	EA3_E1	MEM-CAT	Switch
Single	Believable	Valid	SVB04	EA2_E1	CAT-MEM	Switch
Single	Believable	Valid	SVB05	IA1_I1	MEM-CAT	Switch
Single	Believable	Valid	SVB06	AI4_I1	CAT-MEM	Switch
Single	Believable	Valid	SVB07	IA4_I1	MEM-CAT	Switch
Single	Believable	Valid	SVB08	AI2_I1	CAT-MEM	Switch
Single	Believable	Invalid	SIB01	AE1_I1	MEM-CAT	Switch
Single	Believable	Invalid	SIB02	AE3_I1	CAT-MEM	Switch
Single	Believable	Invalid	SIB03	EA3_I1	MEM-CAT	Switch
Single	Believable	Invalid	SIB04	EA2_I1	CAT-MEM	Switch
Single	Believable	Invalid	SIB05	IA1_E1	MEM-CAT	Switch
Single	Believable	Invalid	SIB06	AI4_E1	CAT-MEM	Switch
Single	Believable	Invalid	SIB07	IA4_E1	MEM-CAT	Switch
Single	Believable	Invalid	SIB08	AI2_E1	CAT-MEM	Switch
Single	Unbelievable	Valid	SVU01	AE1_E2	MEM-CAT	Noswitch
Single	Unbelievable	Valid	SVU02	AE3_E2	CAT-MEM	Noswitch
Single	Unbelievable	Valid	SVU03	EA3_E2	MEM-CAT	Noswitch
Single	Unbelievable	Valid	SVU04	EA2_E2	CAT-MEM	Noswitch
Single	Unbelievable	Valid	SVU05	IA1_I2	MEM-CAT	Noswitch
Single	Unbelievable	Valid	SVU06	AI4_I2	CAT-MEM	Noswitch
Single	Unbelievable	Valid	SVU07	IA4_I2	MEM-CAT	Noswitch
Single	Unbelievable	Valid	SVU08	AI2_I2	CAT-MEM	Noswitch
Single	Unbelievable	Invalid	SIU01	AE1_I2	MEM-CAT	Noswitch
Single	Unbelievable	Invalid	SIU02	AE3_I2	CAT-MEM	Noswitch
Single	Unbelievable	Invalid	SIU03	EA3_I2	MEM-CAT	Noswitch
Single	Unbelievable	Invalid	SIU04	EA2_I2	CAT-MEM	Noswitch
Single	Unbelievable	Invalid	SIU05	IA1_E2	MEM-CAT	Noswitch
Single	Unbelievable	Invalid	SIU06	AI4_E2	CAT-MEM	Noswitch
Single	Unbelievable	Invalid	SIU07	IA4_E2	MEM-CAT	Noswitch
Single	Unbelievable	Invalid	SIU08	AI2_E2	CAT-MEM	Noswitch
